popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
0,260190,0.426,0.32,11,-9.886,0.0647,0.102,0.0,0.275,0.152,135.579,alternative
18,224000,0.355,0.99,7,-1.178,0.431,0.0385,0.166,0.346,0.0417,179.856,happy
54,182672,0.623,0.818,0,-3.623,0.529,0.143,0.0,0.232,0.729,130.655,dancehall
50,174971,0.49,0.231,0,-13.968,0.0265,0.607,0.0,0.0859,0.0904,103.958,ambient
0,168280,0.671,0.689,9,-7.755,0.0932,0.328,2.95e-06,0.352,0.811,138.306,rock-n-roll
27,243713,0.335,0.968,7,-0.958,0.148,5.68e-05,0.0551,0.145,0.559,200.1,j-idol
1,158360,0.166,0.0294,7,-31.569,0.0371,0.92,0.65,0.837,0.216,87.727,sleep
69,208316,0.509,0.79,6,-3.782,0.0374,0.332,6.67e-05,0.316,0.638,127.946,edm
0,235899,0.711,0.997,7,-3.078,0.075,0.0623,0.0,0.33,0.76,134.001,party
62,139706,0.582,0.414,0,-11.211,0.041,0.0491,0.000843,0.393,0.0515,98.017,emo
11,175870,0.703,0.454,6,-12.65,0.0299,0.105,2.61e-06,0.0916,0.583,114.304,kids
43,561133,0.377,0.531,7,-6.229,0.0305,0.493,0.0,0.125,0.443,89.075,mpb
32,202826,0.676,0.535,0,-15.059,0.0533,0.823,8.97e-06,0.0998,0.563,120.028,malay
14,82173,0.405,0.89,8,-5.334,0.0569,8.45e-06,0.924,0.277,0.631,99.888,grindcore
0,143375,0.785,0.523,7,-5.853,0.0489,0.144,0.0,0.117,0.134,100.002,hip-hop
32,291693,0.71,0.644,0,-8.708,0.0324,0.319,4.73e-05,0.176,0.818,92.825,salsa
16,194293,0.634,0.383,7,-7.707,0.0355,0.845,0.647,0.307,0.405,119.2,tango
66,215151,0.817,0.74,11,-4.566,0.283,0.266,0.0,0.0992,0.674,130.04,salsa
66,226160,0.35,0.498,3,-6.589,0.0332,0.023,1.99e-06,0.269,0.34,142.803,k-pop
1,129332,0.798,0.625,4,-6.83,0.13,0.383,3.33e-05,0.125,0.774,92.994,latino
40,254200,0.656,0.502,5,-6.137,0.0375,0.736,0.0,0.0938,0.35,135.931,gospel
32,195070,0.567,0.665,3,-6.613,0.426,0.159,0.0,0.156,0.393,68.257,french
0,233013,0.588,0.771,8,-5.125,0.0954,0.202,9.12e-06,0.117,0.657,179.968,latino
18,266682,0.52,0.883,11,-2.724,0.0798,0.32,3.05e-05,0.18,0.229,180.015,happy
54,117263,0.861,0.305,1,-19.138,0.155,0.856,0.286,0.172,0.917,113.982,sad
3,187613,0.565,0.792,9,-4.983,0.132,0.0913,0.0,0.114,0.639,170.076,rock
44,336173,0.551,0.652,0,-7.087,0.0264,0.283,0.00197,0.073,0.142,129.962,brazil
46,323840,0.454,0.87,10,-5.358,0.0387,0.000226,0.000232,0.0885,0.4,146.878,mpb
45,297600,0.497,0.853,8,-3.157,0.0434,0.0346,0.00141,0.0968,0.0526,99.958,club
58,225892,0.894,0.509,4,-9.59,0.0722,0.108,0.000193,0.124,0.589,114.012,indie
0,390000,0.739,0.689,10,-10.108,0.076,0.0562,0.922,0.111,0.0396,129.982,minimal-techno
44,274240,0.576,0.236,7,-11.467,0.0375,0.281,0.0,0.112,0.415,124.877,songwriter
45,184400,0.704,0.427,7,-15.091,0.0606,0.411,0.0247,0.233,0.774,110.389,psych-rock
25,636146,0.174,0.0866,7,-19.19,0.0402,0.935,0.867,0.109,0.0387,121.211,new-age
0,91186,0.708,0.491,6,-8.596,0.0365,0.442,9.88e-06,0.0624,0.657,138.347,psych-rock
39,195440,0.373,0.12,10,-12.637,0.0375,0.978,0.00135,0.0816,0.192,168.857,club
35,205560,0.378,0.866,9,-4.647,0.0356,0.00579,1.11e-05,0.123,0.753,106.012,ska
28,226026,0.434,0.984,10,-2.151,0.104,0.000553,1.44e-06,0.14,0.324,102.278,groove
50,261253,0.396,0.579,10,-7.733,0.0433,0.197,0.00905,0.0974,0.0587,150.105,dub
36,223074,0.226,0.882,7,-2.653,0.104,0.024,0.0,0.393,0.358,72.486,punk-rock
15,191400,0.534,0.981,7,-3.963,0.0722,0.00264,0.00184,0.366,0.61,135.007,grindcore
12,142626,0.568,0.389,4,-10.035,0.0286,0.72,0.0,0.0748,0.882,143.679,honky-tonk
19,333720,0.158,0.281,3,-8.069,0.0376,0.957,0.0062,0.104,0.0485,74.409,opera
0,161400,0.441,0.404,2,-8.944,0.0561,0.44,0.0,0.279,0.204,130.146,show-tunes
48,226561,0.788,0.619,5,-7.313,0.0431,0.419,0.0,0.651,0.874,130.063,forro
1,184733,0.633,0.752,10,-7.74,0.0358,0.161,1.62e-05,0.368,0.881,91.169,latin
0,282756,0.516,0.535,2,-8.312,0.0317,0.601,0.0,0.141,0.247,137.985,indie-pop
0,270497,0.663,0.794,5,-7.793,0.0886,0.231,0.000693,0.0861,0.74,107.084,alternative
42,126147,0.705,0.568,4,-9.323,0.0324,0.596,0.000994,0.147,0.475,122.026,k-pop
45,316813,0.391,0.625,4,-5.285,0.0306,0.312,0.0,0.117,0.443,78.49,brazil
17,247000,0.678,0.937,7,-5.56,0.0432,0.187,0.000159,0.13,0.96,120.002,chicago-house
0,214720,0.326,0.716,10,-3.547,0.0306,0.00227,0.00171,0.123,0.648,143.148,alt-rock
0,359960,0.32,0.968,8,-4.709,0.173,0.00372,0.00508,0.453,0.276,154.324,iranian
44,292913,0.866,0.661,1,-8.35,0.0571,0.000725,0.904,0.0745,0.408,126.988,minimal-techno
79,198440,0.871,0.701,5,-5.594,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,alternative
64,284130,0.51,0.146,3,-19.585,0.0389,0.987,0.0688,0.107,0.498,159.034,songwriter
10,417186,0.448,0.411,11,-10.141,0.0292,0.807,0.807,0.121,0.471,89.475,afrobeat
54,255080,0.472,0.994,8,-1.786,0.114,0.0259,0.0,0.0535,0.262,103.512,anime
65,219268,0.205,0.00314,10,-37.077,0.0367,0.989,0.784,0.0898,0.064,68.398,sleep
21,153948,0.748,0.876,9,-3.982,0.246,0.0783,0.16,0.045,0.155,154.94,hardstyle
56,170955,0.777,0.728,8,-5.859,0.0506,0.0202,0.00208,0.42,0.46,125.05,groove
