Attribute,Mean,Standard Deviation,Min,Max
CRIM,3.5597322267206484,8.650491752785925,0.00632,88.9762
ZN,11.04251012145749,23.21380589181126,0.0,100.0
INDUS,11.855971659919026,18.370513905193214,0.46,391.0
CHAS,0.1076923076923077,0.8963610297245438,0.0,19.2
NOX,1.3260908560311284,17.465392615649055,0.385,396.9
RM,6.297770428015564,0.7572556211091294,3.561,12.92
AGE,68.56085192697769,27.895026872607787,2.9,100.0
DIS,3.775861988304093,2.095624879498393,1.1296,12.1265
RAD,9.45224171539961,8.68251810857347,1.0,24.0
TAX,406.85185185185185,167.74771471146073,187.0,711.0
PTRATIO,18.483235867446393,2.16295941427419,12.6,22.0
B,357.2044249512671,90.69265919404317,0.32,396.9
LSTAT,12.679288617886177,7.123808793735823,1.73,37.97
MEDV,22.488693957115007,9.143906291670982,5.0,50.0
