"Name","activation","batch_size","hidden_layers","lr","max_epochs","optimizer","epoch","f1_score_val_final","precision_val_final","recall_val_final","accuracy_val_final","Agent","State","Notes","User","Tags","Created","Runtime","method","metric.name","parameters.activations","parameters.batch_sizes","parameters.hidden_layerss","parameters.lrs","parameters.max_epochss","parameters.optimizers","train_accuracy","train_f1","train_loss","train_precision","train_recall","validation_accuracy","validation_f1","validation_loss","validation_precision","validation_recall"
"mbgd_tanh_2_0.002_32_200","tanh","32","[16,8]","0.002","200","mbgd","200","0.19814502357404","0.18094789382283571","0.2189542436059392","0.5350877192982456","","finished","-","","","2024-10-07T14:30:12.000Z","8","","","","","","","","","0.5459518599562363","0.20520002922330488","1.0765860424214162","0.19211191893270377","0.22020183615881864","0.5350877192982456","0.19814502357404","1.1157409908509912","0.18094789382283571","0.2189542436059392"
"bgd_tanh_3_0.01_32_800","tanh","32","[8,8,8]","0.01","800","bgd","800","0.2151403143012761","0.1959064293115831","0.23856208635872664","0.5877192982456141","","finished","-","","","2024-10-07T14:03:06.000Z","5","","","","","","","","","0.5612691466083151","0.20635424698164745","1.0396461835842157","0.19005519900459583","0.22571113162677903","0.5877192982456141","0.2151403143012761","1.0668468467070042","0.1959064293115831","0.23856208635872664"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,8]","0.002","800","bgd","800","0.1030303017814509","0.07456140285472454","0.16666666339869288","0.4473684210526316","","finished","-","","","2024-10-07T14:41:57.000Z","8","","","","","","","","","0.4256017505470459","0.09951394203195608","1.3808950594027285","0.07093362501356641","0.16666666623821766","0.4473684210526316","0.1030303017814509","1.363470482085985","0.07456140285472454","0.16666666339869288"
"mbgd_tanh_2_0.002_32_200","tanh","32","[16,8]","0.002","200","mbgd","200","0.16660654881298836","0.1529041651077632","0.18300653189249563","0.43859649122807015","","finished","-","","","2024-10-07T14:14:10.000Z","10","","","","","","","","","0.4726477024070022","0.2106756757638694","1.1550181069597187","0.2308410117580599","0.19375042337234505","0.43859649122807015","0.16660654881298836","1.2569256467654704","0.1529041651077632","0.18300653189249563"
"sgd_tanh_3_0.05_32_200","tanh","32","[8,8,8]","0.05","200","sgd","9","0.20551439189655785","0.18640350522276097","0.2289915918318309","0.5789473684210527","","finished","-","","","2024-10-07T14:46:14.000Z","4","","","","","","","","","0.563457330415755","0.2565722104903737","1.0628676225670703","0.29559150836214915","0.2266530706412412","0.5877192982456141","0.20924634679642143","1.010916745071461","0.1899145263303967","0.2329598457056026"
"sgd_signum_1_0.05_16_800","signum","16","[16]","0.05","800","sgd","800","0.17868607743627668","0.1711793259883357","0.1868814148303898","0.45614035087719296","","finished","-","","","2024-10-07T14:20:44.000Z","26","","","","","","","","","0.5470459518599562","0.32553717548563144","1.0408455026805197","0.346541288892201","0.3069337057940248","0.45614035087719296","0.17868607743627668","1.2039804481397658","0.1711793259883357","0.1868814148303898"
"mbgd_sigmoid_2_0.002_32_200","sigmoid","32","[8,8]","0.002","200","mbgd","200","0.12380321908880104","0.11078431159457906","0.14028944621214506","0.35964912280701755","","finished","-","","","2024-10-07T14:43:32.000Z","4","","","","","","","","","0.3916849015317287","0.14260470353704527","1.1893370410270754","0.13065909471147572","0.1569543790808758","0.35964912280701755","0.12380321908880104","1.2223353056619195","0.11078431159457906","0.14028944621214506"
"mbgd_sigmoid_3_0.002_32_200","sigmoid","32","[8,8,8]","0.002","200","mbgd","200","0.18090913133268252","0.1876876499607839","0.17460317114623636","0.4649122807017544","","finished","-","","","2024-10-07T14:52:31.000Z","4","","","","","","","","","0.42669584245076586","0.13157772319804514","1.1729329148789738","0.1084919131375148","0.16714401432373968","0.4649122807017544","0.18090913133268252","1.198200898128263","0.1876876499607839","0.17460317114623636"
"bgd_sigmoid_2_0.01_32_800","sigmoid","32","[16,8]","0.01","800","bgd","800","0.1674822674585719","0.15244708712115254","0.18580765245248437","0.4649122807017544","","finished","-","","","2024-10-07T14:12:13.000Z","5","","","","","","","","","0.4737417943107221","0.17073038209166552","1.175928551538122","0.155423621804333","0.18938144952315192","0.4649122807017544","0.1674822674585719","1.2101564127939757","0.15244708712115254","0.18580765245248437"
"bgd_signum_3_0.002_16_800","signum","16","[8,8,8]","0.002","800","bgd","800","0.13440148926768275","0.182417572755438","0.10639588785178145","0.20175438596491227","","finished","-","","","2024-10-07T14:47:37.000Z","9","","","","","","","","","0.2199124726477024","0.15939796453059646","2.503401140425413","0.17930945541439333","0.14346665220314575","0.20175438596491227","0.13440148926768275","2.636762676738996","0.182417572755438","0.10639588785178145"
